ABSENCJA,40-49,50-59,60-69,70-79,>80
ihd,1233613.31212325,1544888.98797028,343005.699906477,0,0
stroke,382859.792292302,479466.191906554,106454.015801144,0,0
hyper,199355.589424731,249658.666752309,55430.7438229607,0,0
